Key,Value,Series
icarus_angeland,Palutena's Temple,Kid Icarus
mario_paper,Paper Mario,Mario
mario_castle64,Peach's Castle,Mario
pictochat2,PictoChat 2,PictoChat
pilotwings,Pilotwings,Pilotwings
zelda_pirates,Pirate Ship,The Legend of Zelda
poke_stadium,Pokemon Stadium,Pokémon
poke_stadium2,Pokemon Stadium 2,Pokémon
fzero_porttown,Port Town Aero Dive,F-Zero
mario_castledx,Princess Peach's Castle,Mario
poke_tower,Prism Tower,Pokémon
mario_rainbow,Rainbow Cruise,Mario
icarus_uprising,Reset Bomb Forest,Kid Icarus
poke_yamabuki,Saffron City,Pokémon
mg_shadowmoses,Shadow Moses Island,Metal Gear
zelda_skyward,Skyloft,The Legend of Zelda
icarus_skyworld,Skyworld,Kid Icarus
battlefield_s,Small Battlefield,Super Smash Bros.
animal_village,Smashville,Animal Crossing
poke_tengam,Spear Pillar,Pokémon
buddy_spiral,Spiral Mountain,Banjo-Kazooie
zelda_train,Spirit Train,The Legend of Zelda
tantan_spring,Spring Stadium,ARMS
ice_top,Summit,Ice Climbers
yoshi_cartboard,Super Happy Tree,Yoshi
mario_maker,Super Mario Maker,Mario
sf_suzaku,Suzaku Castle,Street Fighter
zelda_temple,Temple,The Legend of Zelda
kirby_cave,The Great Cave Offensive,Kirby
tomodachi,Tomodachi Life,Tomodachi Life
animal_island,Tortimer Island,Animal Crossing
animal_city,Town and City,Animal Crossing
bayo_clock,Umbra Clock Tower,Bayonetta
poke_unova,Unova Pokemon League,Pokémon
fox_venom,Venom,Star Fox
wario_madein,Wario Ware Inc.,Wario
wiifit,Wii Fit Studio,Wii
rock_wily,Wily Castle,Mega Man
sonic_windyhill,Windy Hill Zone,Sonic the Hedgehog
wreckingcrew,Wrecking Crew,Wrecking Crew
wufuisland,Wuhu Island,Wii
brave_altar,Yggdrasil's Altar,Dragon Quest
yoshi_island,Yoshi's Island,Yoshi
yoshi_yoster,Yoshi's Island Melee,Yoshi
yoshi_story,Yoshi's Story,Yoshi
resultstage,Results Screen,Super Smash Bros.
resultstage_edge,Results Screen Sephiroth,Final Fantasy
resultstage_jack,Results Screen Joker,Persona
training,Training,Other
homeruncontest,Home-Run Contest,Other
photostage,Photo Stage,Other
settingstage,Setting Stage,Other
staffroll,Credits,Other
bossstage_dracula,Boss Dracula,Other
bossstage_final1,Boss 1,Other
bossstage_final2,Boss 2,Other
bossstage_final3,Boss 3,Other
bossstage_galleom,Boss Galleom,Other
bossstage_ganonboss,Boss Ganon,Other
bossstage_marx,Boss Marx,Other
bossstage_rathalos,Other
